Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1989,0.12,0.3,0.36,0.29,0.17,0.17,0.34,0.34,0.35,0.29,0.19,0.37
1990,0.42,0.44,0.8,0.57,0.46,0.39,0.46,0.35,0.24,0.45,0.47,0.41
1991,0.43,0.5,0.35,0.51,0.34,0.53,0.47,0.4,0.44,0.28,0.3,0.32
1992,0.47,0.41,0.48,0.27,0.3,0.26,0.09,0.08,0,0.06,0.03,0.21
1993,0.34,0.37,0.36,0.28,0.29,0.23,0.25,0.11,0.12,0.23,0.04,0.18
1994,0.26,0.03,0.3,0.41,0.28,0.44,0.3,0.22,0.3,0.42,0.45,0.38
1995,0.52,0.79,0.47,0.47,0.28,0.43,0.46,0.46,0.34,0.48,0.45,0.26
1996,0.23,0.47,0.33,0.32,0.28,0.26,0.36,0.48,0.26,0.2,0.39,0.37
1997,0.3,0.42,0.52,0.35,0.36,0.54,0.34,0.43,0.53,0.6,0.64,0.58
1998,0.59,0.88,0.64,0.64,0.67,0.76,0.68,0.66,0.42,0.43,0.44,0.56
1999,0.49,0.65,0.33,0.33,0.28,0.36,0.39,0.33,0.39,0.35,0.38,0.41
2000,0.26,0.57,0.55,0.58,0.36,0.4,0.38,0.43,0.4,0.28,0.31,0.29
2001,0.46,0.45,0.56,0.51,0.58,0.52,0.6,0.51,0.53,0.51,0.73,0.57
2002,0.78,0.8,0.88,0.59,0.63,0.53,0.61,0.53,0.62,0.55,0.59,0.43
2003,0.76,0.59,0.6,0.56,0.62,0.48,0.58,0.66,0.63,0.74,0.54,0.75
2004,0.59,0.73,0.64,0.62,0.39,0.45,0.27,0.48,0.52,0.62,0.73,0.51
2005,0.74,0.61,0.75,0.68,0.63,0.65,0.62,0.62,0.71,0.75,0.74,0.69
2006,0.57,0.73,0.63,0.49,0.5,0.66,0.55,0.71,0.66,0.69,0.73,0.79
2007,1.02,0.71,0.73,0.76,0.69,0.61,0.6,0.6,0.6,0.6,0.59,0.5
2008,0.3,0.39,0.74,0.54,0.5,0.5,0.61,0.48,0.61,0.66,0.7,0.55
2009,0.65,0.54,0.55,0.61,0.66,0.65,0.72,0.68,0.73,0.66,0.81,0.68
2010,0.76,0.84,0.92,0.85,0.76,0.69,0.64,0.67,0.64,0.71,0.83,0.45
2011,0.52,0.48,0.65,0.65,0.52,0.61,0.71,0.73,0.58,0.66,0.59,0.61
2012,0.49,0.49,0.58,0.72,0.78,0.65,0.59,0.64,0.72,0.79,0.79,0.53
2013,0.71,0.63,0.68,0.57,0.62,0.71,0.62,0.71,0.78,0.7,0.85,0.7
2014,0.76,0.56,0.8,0.81,0.86,0.67,0.59,0.81,0.85,0.8,0.67,0.8
2015,0.86,0.9,0.96,0.77,0.79,0.82,0.75,0.83,0.84,1.09,1.06,1.16
2016,1.17,1.37,1.36,1.12,0.96,0.82,0.85,1.02,0.92,0.88,0.91,0.86
2017,1.04,1.14,1.16,0.94,0.9,0.73,0.82,0.87,0.79,0.9,0.89,0.95
2018,0.83,0.85,0.9,0.9,0.82,0.78,0.82,0.77,0.81,1,0.83,0.92
2019,0.94,0.95,1.18,1.02,0.87,0.93,0.94,0.9,***,***,***,***
